question_id,type,year,course,unit_after,topic_after,lesson_after,stem_status,choice_status,answer_status,math_status,katex_status,media_status,mapping_status,review_required,notes
APCALC-AB-FRQ-1971-03,frq,1971,AP Calculus AB,5,5.2 / 5.4 / 5.8,APCALC-5.2 | APCALC-5.4 | APCALC-5.8,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1971-04,frq,1971,AP Calculus AB,5,5.10,APCALC-5.10 | APCALC-1.11,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1971-05,frq,1971,AP Calculus AB,8,8.9 / 8.10,APCALC-8.9 | APCALC-8.10 | APCALC-8.5,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1971-06,frq,1971,AP Calculus AB,4,4.2 / 6.4 / 1.15,APCALC-4.2 | APCALC-6.4 | APCALC-1.15,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1971-07,frq,1971,AP Calculus AB,5,5.3 / 5.4,APCALC-5.3 | APCALC-5.4 | APCALC-1.15,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1972-01,frq,1972,AP Calculus AB,2,2.4 / prerequisite,APCALC-2.4 | APCALC-1.12,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1972-02,frq,1972,AP Calculus AB,4,4.2,APCALC-4.2 | APCALC-5.2 | APCALC-2.8,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1972-03,frq,1972,AP Calculus AB,6,6.7 / 2.6,APCALC-2.6 | APCALC-6.7 | APCALC-8.4,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1972-04,frq,1972,AP Calculus AB,5,5.10,APCALC-5.10 | APCALC-1.3 | APCALC-2.9,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1972-05,frq,1972,AP Calculus AB,3,3.1 / 4.5,APCALC-3.1 | APCALC-3.5 | APCALC-4.5,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1972-06,frq,1972,AP Calculus AB,8,8.9 / historical shell method,APCALC-8.9 | APCALC-6.10,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1972-07,frq,1972,AP Calculus AB,2,2.1 / 2.2,APCALC-2.1 | APCALC-2.2 | APCALC-6.8,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1973-01,frq,1973,AP Calculus AB,5,5.2 / prerequisite algebra,APCALC-5.2 | APCALC-5.3,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1973-02,frq,1973,AP Calculus AB,4,4.2 / 6.8,APCALC-4.2 | APCALC-6.8 | APCALC-1.15,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1973-03,frq,1973,AP Calculus AB,3,3.2,APCALC-3.2 | APCALC-2.7 | APCALC-5.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1973-04,frq,1973,AP Calculus AB,8,8.5 / 8.10 / prerequisite discriminant,APCALC-8.5 | APCALC-8.10,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1973-05,frq,1973,AP Calculus AB,5,5.10 / prerequisite parameter elimination,APCALC-5.10 | APCALC-3.4,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1973-06,frq,1973,AP Calculus AB,5,5.10,APCALC-5.10 | APCALC-5.11,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1973-07,frq,1973,AP Calculus AB,6,6.7 / 4.5,APCALC-6.7 | APCALC-4.5 | APCALC-8.5,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1974-01,frq,1974,AP Calculus AB,3,3.1 / 3.2 / prerequisite function analysis,APCALC-3.1 | APCALC-3.2,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1974-02,frq,1974,AP Calculus AB,5,5.2 / 5.3 / 5.6,APCALC-5.2 | APCALC-5.3 | APCALC-5.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1974-03,frq,1974,AP Calculus AB,2,2.1 / 2.3,APCALC-2.1 | APCALC-2.3,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1974-04,frq,1974,AP Calculus AB,6,6.8,APCALC-6.8 | APCALC-2.2 | APCALC-4.1,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1974-05,frq,1974,AP Calculus AB,5,5.10,APCALC-5.10 | APCALC-3.5 | APCALC-2.7,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1974-06,frq,1974,AP Calculus AB,8,8.4,APCALC-8.4 | APCALC-6.10,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1974-07,frq,1974,AP Calculus AB,7,7.2 / 7.8,APCALC-7.2 | APCALC-7.8 | APCALC-2.7,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1975-01,frq,1975,AP Calculus AB,3,3.2 / prerequisite inverse functions,APCALC-3.2,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1975-02,frq,1975,AP Calculus AB,4,4.2 / 4.3 / 4.4,APCALC-4.2 | APCALC-4.3 | APCALC-6.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1975-03,frq,1975,AP Calculus AB,2,2.2 / 2.4 / 6.4,APCALC-1.10 | APCALC-2.2 | APCALC-6.4,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1975-04,frq,1975,AP Calculus AB,5,5.2 / 5.6 / 5.8,APCALC-5.2 | APCALC-5.4 | APCALC-5.8,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1975-05,frq,1975,AP Calculus AB,2,2.8 / 2.9,APCALC-2.5 | APCALC-2.9,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1975-06,frq,1975,AP Calculus AB,8,8.4 / 8.9 / historical shell enrichment,APCALC-8.4 | APCALC-8.9 | APCALC-6.1,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1975-07,frq,1975,AP Calculus AB,2,2.2 / 2.7 / Unit 7 connection,APCALC-2.2 | APCALC-2.7 | APCALC-7.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1976-01,frq,1976,AP Calculus AB,2,2.1 / 2.2,APCALC-2.1 | APCALC-2.2 | APCALC-2.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1976-02,frq,1976,AP Calculus AB,1,1.10 / prerequisite algebra,APCALC-1.10,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1976-03,frq,1976,AP Calculus AB,8,8.4 / 8.7,APCALC-8.4 | APCALC-8.7,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1976-04,frq,1976,AP Calculus AB,4,3.5 / 4.5,APCALC-3.5 | APCALC-4.5,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1976-05,frq,1976,AP Calculus AB,5,5.3 / 5.4,APCALC-5.3 | APCALC-5.4,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1976-06,frq,1976,AP Calculus AB,6,6.4 / 6.5,APCALC-6.4 | APCALC-6.5,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1976-07,frq,1976,AP Calculus AB,2,2.2,APCALC-2.2 | APCALC-2.3,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1977-01,frq,1977,AP Calculus AB,3,3.1 with prerequisite function analysis,APCALC-1.1 | APCALC-3.1 | APCALC-3.3,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1977-02,frq,1977,AP Calculus AB,5,5.3 / 5.4 / 5.6,APCALC-5.3 | APCALC-5.4 | APCALC-5.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1977-03,frq,1977,AP Calculus AB,8,8.4 / 8.8,APCALC-8.4 | APCALC-8.8 | APCALC-6.8,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1977-04,frq,1977,AP Calculus AB,3,2.6 / 2.8 / 2.9 / 3.1 / 3.3,APCALC-2.8 | APCALC-2.9 | APCALC-3.1 | APCALC-3.3,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1977-05,frq,1977,AP Calculus AB,4,4.2 / 5.4 / 6.8,APCALC-4.2 | APCALC-5.4 | APCALC-6.8,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1977-06,frq,1977,AP Calculus AB,4,4.5,APCALC-4.5 | APCALC-3.2,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1977-07,frq,1977,AP Calculus AB,2,2.2 / 2.4,APCALC-2.2 | APCALC-2.4 | APCALC-1.10,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1978-01,frq,1978,AP Calculus AB,2,2.1 / 2.2 / 5.2,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1978-02,frq,1978,AP Calculus AB,3,3.1 / 3.3 / 5.6,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1978-03,frq,1978,AP Calculus AB,1,1.10 / 1.11 / 1.12,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1978-04,frq,1978,AP Calculus AB,4,4.2 / 6.4 / 6.8,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1978-05,frq,1978,AP Calculus AB,3,3.5 / 5.6,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1978-06,frq,1978,AP Calculus AB,5,5.10 / 8.9 with historical shell enrichment,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1978-07,frq,1978,AP Calculus AB,5,5.3 / 5.6,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1979-01,frq,1979,AP Calculus AB,2,2.1 / 2.2 / 5.2,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1979-02,frq,1979,AP Calculus AB,5,5.3 / 5.4,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1979-03,frq,1979,AP Calculus AB,5,5.10,APCALC-5.10,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1979-04,frq,1979,AP Calculus AB,4,4.2 / 4.3,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1979-05,frq,1979,AP Calculus AB,8,6.10 / 8.4 with historical shell enrichment,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1979-06,frq,1979,AP Calculus AB,1,1.10 / 2.2,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1979-07,frq,1979,AP Calculus AB,5,5.6 / 5.1,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1980-01,frq,1980,AP Calculus AB,8,8.4 / 8.8,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1980-02,frq,1980,AP Calculus AB,5,5.10 / 4.5,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1980-03,frq,1980,AP Calculus AB,3,3.1 / prerequisite function analysis,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1980-04,frq,1980,AP Calculus AB,4,4.2 / 6.4,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1980-05,frq,1980,AP Calculus AB,5,5.3 / 5.4,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1980-06,frq,1980,AP Calculus AB,3,3.5 / 1.10,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1980-07,frq,1980,AP Calculus AB,1,1.10 / 2.2,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-LEGACY-MCQ-1985-033,mcq,1985,AP Calculus AB,5,5.9,APCALC-5.9,verified,verified,verified,verified,verified,blocked,verified,True,Complete independent source and mathematical verification passed. Required source/choice visual is unavailable in a student-usable form; the record is preserved as teacher/archive-only until exact media is supplied.
APCALC-LEGACY-MCQ-1988-030,mcq,1988,AP Calculus AB,,BC Enrichment,,verified,verified,verified,verified,verified,not_required,unmapped,True,Cylindrical shells are not in the current AP Calculus AB/BC course framework used by the portal.
APCALC-LEGACY-MCQ-1993-020,mcq,1993,AP Calculus AB,,Historical Enrichment,,verified,verified,verified,verified,verified,not_required,unmapped,True,Cylindrical shells are not in the current AP Calculus AB/BC course framework used by the portal.
APCALC-LEGACY-MCQ-1993-040,mcq,1993,AP Calculus AB,,Prerequisite,APCALC-PREREQUISITE,verified,verified,verified,verified,verified,blocked,verified,True,Complete independent source and mathematical verification passed. Required source/choice visual is unavailable in a student-usable form; the record is preserved as teacher/archive-only until exact media is supplied.
APCALC-LEGACY-MCQ-1993-045,mcq,1993,AP Calculus AB,,Historical Enrichment,,verified,verified,verified,verified,verified,not_required,unmapped,True,Newton's method is historical enrichment without a verified current lesson mapping.
APCALC-LEGACY-MCQ-1997-011,mcq,1997,AP Calculus AB,5,5.9,APCALC-5.9,verified,verified,verified,verified,verified,blocked,verified,True,Complete independent source and mathematical verification passed. Required source/choice visual is unavailable in a student-usable form; the record is preserved as teacher/archive-only until exact media is supplied.
